Total records with legal-entity prefixes: 1,360

================================================================================
       #  Len  Name
================================================================================
  [    39] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    40] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    41] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    42] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    43] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    44] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    45] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    46] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    47] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    48] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    49] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    50] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    51] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    52] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    53] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    54] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    55] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    56] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    57] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    58] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    59] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    60] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    61] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    62] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    63] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    64] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    65] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    66] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    67] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    68] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    69] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    70] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    71] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    72] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    73] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    74] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    75] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    76] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    77] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    78] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    79] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    80] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    81] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    82] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    83] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    84] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    85] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    86] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    87] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    88] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    89] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    90] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    91] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    92] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    93] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    94] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    95] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    96] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    97] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    98] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [    99] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [   100] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [   101] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [   102] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [   103] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [   104] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [   105] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [   106] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [   107] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [   108] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
  [   109] ( 96) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAULT STE. MARIE, IN ONTARIO, CANADA
