church_name,denomination,family,address,city_state,zip,phone,website,page_url
Southside Community Church,Free Methodist Church of North America,Methodist Churches,"715 E 8th St, Newberg, OR 97132","715 E 8th St, Newberg, OR",97132,(503) 538-6400,,https://www.usachurches.org/church/southside-community-church.htm
Portland International Church of Christ,Non-Denominational / Independent,Other Churches,"4804 NW Bethany Blvd, Suite i-2, #329, Portland, OR 97229","4804 NW Bethany Blvd, Suite i-2, #329, Portland, OR",97229,(503) 729-1622,https://portlandchurch.org,https://www.usachurches.org/church/portland-international-church-of-christ.htm
Deeper Life Fellowship,Non-Denominational / Independent,Other Churches,"12425 NE San Rafael St, Portland, OR 97230","12425 NE San Rafael St, Portland, OR",97230,(503) 927-0716,,https://www.usachurches.org/church/deeper-life-fellowship.htm
Russellville Community Church,Non-Denominational / Independent,Other Churches,"10401 NE Glisan Street, Portland, OR 97220","10401 NE Glisan Street, Portland, OR",97220,(503) 771-4353,https://russellvillecommunitychurch.org,https://www.usachurches.org/church/russellville-community-church.htm
Open Door Community Church,Non-Denominational / Independent,Other Churches,"339 NW Sherman St, Sheridan, OR 97378","339 NW Sherman St, Sheridan, OR",97378,(503) 843-6736,,https://www.usachurches.org/church/open-door-community-church.htm
