church_name,denomination,family,address,city_state,zip,phone,website,page_url
Living Hope Worship Center,Interdenominational,Other Churches,"2225 Patriot Drive, Murfreesboro, TN 37130","2225 Patriot Drive, Murfreesboro, TN",37130,(615) 494-0612,,https://www.usachurches.org/church/living-hope-worship-center.htm
The Tree of Life Gathering,Non-Denominational / Independent,Other Churches,"7069 U.S. 70, Nashville, TN 37221","7069 U.S. 70, Nashville, TN",37221,(336) 582-3406,,https://www.usachurches.org/church/thetreeoflifegathering.htm
Revolution Church,Non-Denominational / Independent,Other Churches,"10 Cinema (1251 Interstate Dr, Crossville, TN 38555","10 Cinema (1251 Interstate Dr, Crossville, TN",38555,(931) 248-6441,https://crossvillerevolution.com,https://www.usachurches.org/church/revolution-church.htm
The Sacred Heart Mission,Non-Denominational / Independent,Other Churches,"3914 St Elmo Avenue, Chattanooga, TN 37409","3914 St Elmo Avenue, Chattanooga, TN",37409,(423) 238-3835,,https://www.usachurches.org/church/the-sacred-heart-mission.htm
