church_name,denomination,family,address,city_state,zip,phone,website,page_url
Sovereign Grace Baptist Bible Church,Independent Baptist,Baptist Churches,"1916 River Street, Hyde Park, MA 02136","1916 River Street, Hyde Park, MA",02136,(617) 459-6016,,https://www.usachurches.org/church/sovereign-grace-baptist-bible-church.htm
Eagle & Dove Ministries / Judah's Roar Church,Non-Denominational / Independent,Other Churches,"436 Washington St, Gloucester, MA 01930","436 Washington St, Gloucester, MA",01930,(978) 283-9111,https://eagledove.com,https://www.usachurches.org/church/eagledoveministriesjudahsroarchurch.htm
Above All Church,Non-Denominational / Independent,Other Churches,"405 Westgate Dr, Brockton, MA 02301","405 Westgate Dr, Brockton, MA",02301,(817) 449-9047,https://aboveallcc.org,https://www.usachurches.org/church/above-all-christian-center.htm
The Fathers House Ministries,Non-Denominational / Independent,Other Churches,"323 Main Street, Oxford, MA 01540","323 Main Street, Oxford, MA",01540,(774) 276-0024,,https://www.usachurches.org/church/the-fathers-house-ministries.htm
Christ Life Center,Non-Denominational / Independent,Other Churches,"518 N Main St, Randolph, MA 02368","518 N Main St, Randolph, MA",02368,(781) 964-3302,https://christboston.org,https://www.usachurches.org/church/christ-life-center.htm
