church_name,denomination,family,address,city_state,zip,phone,website,page_url
Calvary Fellowship,Non-Denominational / Independent,Other Churches,"110 Beechwood Road, West Hartford, CT 06107","110 Beechwood Road, West Hartford, CT",06107,(860) 231-9957,https://westhartfordchurch.com,https://www.usachurches.org/church/calvary-fellowship.htm
Another Chance Church,Non-Denominational / Independent,Other Churches,"90 Main St, New Britain, CT 06051","90 Main St, New Britain, CT",06051,(860) 223-2580,,https://www.usachurches.org/church/another-chance-church.htm
Shepaug Valley Bible Church,Non-Denominational / Independent,Other Churches,"29 North Street, Roxbury, CT 06783). Our Mailing Address: 16 South Street, PO Box 159, Roxbury, CT 06783","29 North Street, Roxbury, CT 06783). Our Mailing Address: 16 South Street, PO Box 159, Roxbury, CT",06783,(860) 210-1127,https://shepaugvalleybiblechurch.net,https://www.usachurches.org/church/shepaug-valley-bible-church.htm
Grace Faith Assembly,Non-Denominational / Independent,Other Churches,"84 (80 Newtown Rd., Exit 8 off Interstate 84, Danbury, CT 06810","84 (80 Newtown Rd., Exit 8 off Interstate 84, Danbury, CT",06810,(860) 519-4343,,https://www.usachurches.org/church/grace-faith-assembly.htm
