church_name,denomination,family,address,city_state,zip,phone,website,page_url
New Heights Church,Non-Denominational / Independent,Other Churches,"9 and 10:45am at Ruth Barker Middle School (500 SE 18th St, Bentonville, AR 72712","9 and 10:45am at Ruth Barker Middle School (500 SE 18th St, Bentonville, AR",72712,(479) 657-6911,https://newheightsbentonville.com,https://www.usachurches.org/church/newheightschurch.htm
43 Assembly of God,Assemblies of God,Pentecostal Churches,"3410 Big Pine Dr, Van Buren, AR 72956","3410 Big Pine Dr, Van Buren, AR",72956,(479) 471-1110,https://43assemblyofgod.com,https://www.usachurches.org/church/43-assembly-of-god.htm
