church_name,denomination,family,address,city_state,zip,phone,website,page_url
Santaquin Baptist Church,Independent Baptist,Baptist Churches,"364 North SR 198, Santaquin, UT 84655","364 North SR 198, Santaquin, UT",84655,(801) 754-3636,,https://www.usachurches.org/church/santaquin-baptist-church.htm
theBRIDGE Church,Non-Denominational / Independent,Other Churches,"4544 Harvest Creek Way, South Jordan, UT 84095","4544 Harvest Creek Way, South Jordan, UT",84095,(801) 930-9492,https://thebridgelive.org,https://www.usachurches.org/church/thebridge-church.htm
Liberty Christian Church,Non-Denominational / Independent,Other Churches,"2465 North Main Street #14, Sunset UT 84015. Our Mailing Address: P.O. Box 678 Clearfield, UT 84089","2465 North Main Street #14, Sunset UT 84015. Our Mailing Address: P.O. Box 678 Clearfield, UT",84089,(801) 773-5653,https://lccut.org,https://www.usachurches.org/church/liberty-christian-church.htm
