church_name,denomination,family,address,city_state,zip,phone,website,page_url
Lighthouse Baptist Church,Independent Baptist,Baptist Churches,"215 E. Lincoln Ave in Goshen, IN. Our mailing address is P.O. Box 920 Goshen, IN 46527","215 E. Lincoln Ave in Goshen, IN. Our mailing address is P.O. Box 920 Goshen, IN",46527,(574) 514-3825,https://mygospellight.com,https://www.usachurches.org/church/lighthousebaptistchurchgoshen.htm
Voice Ministries,Non-Denominational / Independent,Other Churches,"3701 S Main St, Elkhart, IN 46517","3701 S Main St, Elkhart, IN",46517,(574) 830-5009,https://voiceministries.com,https://www.usachurches.org/church/voice-ministries.htm
The Restoration Church,Non-Denominational / Independent,Other Churches,"2425 S Emerson Ave, Greenwood, IN 46143","2425 S Emerson Ave, Greenwood, IN",46143,(317) 690-2428,https://therestoration.church,https://www.usachurches.org/church/the-restoration-church.htm
Green River Area Deaf Fellowship,Sovereign Grace Ministries,Other Churches,"5601 Oak Hill Road, Evansville, IN 47711","5601 Oak Hill Road, Evansville, IN",47711,(270) 215-4768,,https://www.usachurches.org/church/green-river-area-deaf-fellowship.htm
Faithworld Center,International Church of the Foursquare Gospel,Pentecostal Churches,"6701 Oaklandon Rd, Indianapolis, IN 46236","6701 Oaklandon Rd, Indianapolis, IN",46236,(317) 786-7500,,https://www.usachurches.org/church/faithworld-center.htm
