church_name,denomination,family,address,city_state,zip,phone,website,page_url
Watts Chapel Baptist Church,Southern Baptist Convention,Baptist Churches,"1462 KY-2750, Crab Orchard, KY 40419","1462 KY-2750, Crab Orchard, KY",40419,(270) 890-3325,https://wattschapelchurch.com,https://www.usachurches.org/church/wattschapelbaptistchurch.htm
Generations Community Church,Interdenominational,Other Churches,"44 Club Lane, Nicholasville, KY 40356","44 Club Lane, Nicholasville, KY",40356,(859) 885-7574,https://g2c.net,https://www.usachurches.org/church/generations-community-church.htm
The Creek Church Somerset,Non-Denominational / Independent,Other Churches,"2292 US-27, Somerset, KY 42501","2292 US-27, Somerset, KY",42501,(606) 877-9682,https://thecreekchurch.com,https://www.usachurches.org/church/thecreekchurchsomerset.htm
True Words Christian Church,Non-Denominational / Independent,Other Churches,"1013 Mount Vernon Dr, Shelbyville, KY 40065","1013 Mount Vernon Dr, Shelbyville, KY",40065,(502) 396-1657,https://truewordschristian.org,https://www.usachurches.org/church/truewordschristianchurch.htm
Ekklesia Christian Life Fellowship,Assemblies of God,Pentecostal Churches,"2001 Bryant Rd, Lexington, KY 40509","2001 Bryant Rd, Lexington, KY",40509,(859) 543-9600,https://ekk-lex.org,https://www.usachurches.org/church/ekklesia-christian-life-fellowship.htm
