church_name,denomination,family,address,city_state,zip,phone,website,page_url
Sts. Peter and Paul Ecumenical Catholic Church USA,Reformed Catholic Church,Catholic Churches,"808 N. Mason Road, Creve Coeur, MO 63141","808 N. Mason Road, Creve Coeur, MO",63141,(314) 968-7800,https://sspp-eccusa.org,https://www.usachurches.org/church/stspeterandpaulecumenicalcatholicchurchusa.htm
Discover Church KC,Non-Denominational / Independent,Other Churches,"10500 N Trailblazer Dr, MO 64155","10500 N Trailblazer Dr, MO",64155,(816) 203-1835,https://discoverchurchkc.com,https://www.usachurches.org/church/discoverchurchkc.htm
Citywide Christian Fellowship,Non-Denominational / Independent,Other Churches,"2914 East 32nd Street #301, Joplin, MO 64804","2914 East 32nd Street #301, Joplin, MO",64804,(417) 396-0193,,https://www.usachurches.org/church/citywide-christian-fellowship.htm
Faith Chapel Assembly of God,Assemblies of God,Pentecostal Churches,"6747 Keats Rd, O'Fallon, MO 63368","6747 Keats Rd, O'Fallon, MO",63368,(636) 300-0700,https://faithchapelag.com,https://www.usachurches.org/church/faith-chapel-assembly-of-god.htm
Grace Hill Community Church,Evangelical Presbyterian Church,Presbyterian Churches,"420 E Farm Road 182, Springfield, MO 65810","420 E Farm Road 182, Springfield, MO",65810,(417) 631-1048,,https://www.usachurches.org/church/grace-hill-community-church.htm
