church_name,denomination,family,address,city_state,zip,phone,website,page_url
Heart of Grace,Christian Churches and Churches of Christ,Christian and Restorationist Churches,"209 N John St, Highland, MI 48357","209 N John St, Highland, MI",48357,(248) 529-6757,,https://www.usachurches.org/church/heart-of-grace.htm
Jubilee Christian Center,Non-Denominational / Independent,Other Churches,"24555 Michigan Ave, Dearborn, MI 48124","24555 Michigan Ave, Dearborn, MI",48124,(248) 973-8285,https://jubileeccc.org,https://www.usachurches.org/church/jubilee-christian-center-livonia.htm
Mosaic Church,Non-Denominational / Independent,Other Churches,"1200 Ramsdell Rd, Traverse City, MI 49684","1200 Ramsdell Rd, Traverse City, MI",49684,(231) 735-4573,https://tcmosaic.com,https://www.usachurches.org/church/mosaicchurchtraversecity.htm
Grumlaw Church,Non-Denominational / Independent,Other Churches,"805 Health Park Blvd, Grand Blanc, MI 48439","805 Health Park Blvd, Grand Blanc, MI",48439,(810) 510-0298,https://grumlaw.com,https://www.usachurches.org/church/grumlawchurch.htm
Cornerstone Christian Church,Non-Denominational / Independent,Other Churches,"20601 Rotunda Dr., Dearborn, MI 48124","20601 Rotunda Dr., Dearborn, MI",48124,(313) 383-4506,,https://www.usachurches.org/church/cornerstone-christian-church-dearborn.htm
Deliverance Outreach Ministry,Church of God in Christ,Pentecostal Churches,"1803 Kalamazoo Ave SE, Grand Rapids, MI 49507","1803 Kalamazoo Ave SE, Grand Rapids, MI",49507,(616) 460-9648,,https://www.usachurches.org/church/deliverance-outreach-ministry.htm
