church_name,denomination,family,address,city_state,zip,phone,website,page_url
Church of the Holy Paraclete,Reformed Catholic Church,Catholic Churches,"455 Douglas Ave, Providence, RI 02908","455 Douglas Ave, Providence, RI",02908,(401) 218-0706,https://holyparaclete.org,https://www.usachurches.org/church/church-of-the-holy-paraclete.htm
Hill City Church,"Church of God (Anderson, IN)",Holiness Churches,"135 Prairie Ave, Providence, RI 02905","135 Prairie Ave, Providence, RI",02905,(630) 452-9730,https://hillcitypvd.com,https://www.usachurches.org/church/hillcitychurch.htm
Christ Reformed Presbyterian Church,Reformed Presbyterian Church of North America,Presbyterian Churches,"81 Warren Ave, East Providence, RI 02914","81 Warren Ave, East Providence, RI",02914,(401) 709-4678,https://christrpc.com,https://www.usachurches.org/church/christ-reformed-presbyterian-church.htm
