church_name,denomination,family,address,city_state,zip,phone,website,page_url
CrossCountry Church,Southern Baptist Convention,Baptist Churches,"2700 E Broadview Ave, Wasilla, AK 99654","2700 E Broadview Ave, Wasilla, AK",99654,(907) 746-7000,https://crosscountrychurch.com,https://www.usachurches.org/church/cross-country-church.htm
Cowboy Church of Anchorage,Southern Baptist Convention,Baptist Churches,"7801 E 32nd Ave, Anchorage, AK 99504","7801 E 32nd Ave, Anchorage, AK",99504,(907) 230-3115,,https://www.usachurches.org/church/cowboy-church-of-anchorage.htm
