church_name,denomination,family,address,city_state,zip,phone,website,page_url
Trinity Baptist Church,Independent Baptist,Baptist Churches,"18826 Coastal Hwy, Rehoboth Beach, DE 19971","18826 Coastal Hwy, Rehoboth Beach, DE",19971,(302) 382-7150,https://tbclewes.com,https://www.usachurches.org/church/trinity-baptist-church-rehoboth-beach.htm
The Orchard Christian Church,Christian Churches and Churches of Christ,Christian and Restorationist Churches,"20 West Frazier St, Smyrna, DE 19977","20 West Frazier St, Smyrna, DE",19977,(208) 502-0149,https://theorchard.cc,https://www.usachurches.org/church/theorchardchristianchurch.htm
LifeHouse Church,Non-Denominational / Independent,Other Churches,"504 S Broad St, Middletown, DE 19709","504 S Broad St, Middletown, DE",19709,(302) 449-0017,https://lifehousede.com,https://www.usachurches.org/church/lifehouse-church.htm
Ransomed Life Church,Non-Denominational / Independent,Other Churches,"273 W Duck Creek Rd, Clayton, DE 19938","273 W Duck Creek Rd, Clayton, DE",19938,(302) 650-5198,https://iamransomed.com,https://www.usachurches.org/church/ransomedlifechurch.htm
Iron Faith Fellowship,Non-Denominational / Independent,Other Churches,"130 Kentucky Ave, Wilmington, DE 19804","130 Kentucky Ave, Wilmington, DE",19804,(302) 478-1806,https://ironfaithfellowship.org,https://www.usachurches.org/church/iron-faith-fellowship.htm
Christ Community Church,Non-Denominational / Independent,Other Churches,"2916 Duncan Rd, Wilmington, DE 19808","2916 Duncan Rd, Wilmington, DE",19808,(302) 999-9340,https://gotoc3.com,https://www.usachurches.org/church/christ-community-church-wilmington-de.htm
Stone's Throw Church,Presbyterian Church in America,Presbyterian Churches,"1080 Bunker Hill Rd, Middletown, DE 19709","1080 Bunker Hill Rd, Middletown, DE",19709,(302) 464-5782,https://stonesthrowchurch.org,https://www.usachurches.org/church/stones-throw-church.htm
