church_name,denomination,family,address,city_state,zip,phone,website,page_url
Embark Church,Non-Denominational / Independent,Other Churches,"2550 St Matthews Rd, Orangeburg, SC 29118","2550 St Matthews Rd, Orangeburg, SC",29118,(803) 813-0010,https://embark-church.org,https://www.usachurches.org/church/embark-church.htm
Rivergate Church,Non-Denominational / Independent,Other Churches,"377 Rubin Center Dr, Fort Mill, SC 29708","377 Rubin Center Dr, Fort Mill, SC",29708,(803) 818-2660,https://rivergatechurch.com,https://www.usachurches.org/church/rivergate-church.htm
River's Edge Church,Non-Denominational / Independent,Other Churches,"403 S Lee St, Batesburg-Leesville, SC 29070","403 S Lee St, Batesburg-Leesville, SC",29070,(803) 315-5945,,https://www.usachurches.org/church/rivers-edge-church-batesburg-leesville.htm
Blythewood Presbyterian Church,Presbyterian Church in America,Presbyterian Churches,"10901 Wilson Blvd, Blythewood, SC  29016","10901 Wilson Blvd, Blythewood, SC",29016,(803) 786-2399,https://blythewoodpres.com,https://www.usachurches.org/church/blythewood-presbyterian-church.htm
